
2453544.500000000, 2005-Jun-23 00:00:00.0000, -5.747823307475082E+07,  1.247153158952109E+06,  5.376736956112753E+06, -1.118809367837746E+01, -4.660521392688344E+01, -2.780767492151231E+00,  1.926087000594819E+02,  5.774263562301683E+07,  9.871329128709895E+00,
2453545.500000000, 2005-Jun-24 00:00:00.0000, -5.829839510389311E+07, -2.779320402252566E+06,  5.123052838168851E+06, -7.813723720716391E+00, -4.656140650193343E+01, -3.086859283284930E+00,  1.954319315850336E+02,  5.858901914156505E+07,  9.713807892294431E+00,
2453546.500000000, 2005-Jun-25 00:00:00.0000, -5.883144605222596E+07, -6.792246702447731E+06,  4.844126901900789E+06, -4.543487940173180E+00, -4.629494804494109E+01, -3.365204543189240E+00,  1.982038646683227E+02,  5.942002377401581E+07,  9.516071520467541E+00,
2453547.500000000, 2005-Jun-26 00:00:00.0000, -5.908673290880932E+07, -1.077323329878856E+07,  4.542319546879659E+06, -1.385094295394060E+00, -4.582517725064429E+01, -3.616675819864710E+00,  2.009135276817568E+02,  6.023236030916489E+07,  9.282351248131700E+00,
2453548.500000000, 2005-Jun-27 00:00:00.0000, -5.907417381753241E+07, -1.470550233255894E+07,  4.219911681259856E+06,  1.655875561774822E+00, -4.517011798957640E+01, -3.842233378221918E+00,  2.035511167229560E+02,  6.102308961101986E+07,  9.016520020430796E+00,
2453549.500000000, 2005-Jun-28 00:00:00.0000, -5.880409135980278E+07, -1.857377466100172E+07,  3.879098887993150E+06,  4.575581438930027E+00, -4.434643618785955E+01, -4.042886359115254E+00,  2.061078933320582E+02,  6.178959195521954E+07,  8.722100774243485E+00,
2453550.500000000, 2005-Jun-29 00:00:00.0000, -5.828707688841744E+07, -2.236415245012810E+07,  3.521988566399761E+06,  7.371590347265943E+00, -4.336944465514615E+01, -4.219662498530088E+00,  2.085760857402567E+02,  6.252953742409030E+07,  8.402282139828751E+00,
2453551.500000000, 2005-Jun-30 00:00:00.0000, -5.753388165435278E+07, -2.606400373022339E+07,  3.150599372223984E+06,  1.004258993108299E+01, -4.225314158891222E+01, -4.373584974235168E+00,  2.109487953743229E+02,  6.324085787740730E+07,  8.059938818395501E+00,
2453552.500000000, 2005-Jul-01 00:00:00.0000, -5.655533078206830E+07, -2.966185132261615E+07,  2.766862397413949E+06,  1.258814536858552E+01, -4.101027164163304E+01, -4.505655085214487E+00,  2.132199096541509E+02,  6.392172080975582E+07,  7.697654584652731E+00,
2453553.500000000, 2005-Jul-02 00:00:00.0000, -5.536225654246729E+07, -3.314726770460578E+07,  2.372623635745229E+06,  1.500849494615880E+01, -3.965240109740351E+01, -4.616839632942883E+00,  2.153840216131802E+02,  6.457050525334039E+07,  7.317746424486295E+00,
2453554.500000000, 2005-Jul-03 00:00:00.0000, -5.396544779445975E+07, -3.651077674626425E+07,  1.969647370846879E+06,  1.730437940283026E+01, -3.819000087629025E+01, -4.708062041316239E+00,  2.174363565085040E+02,  6.518577977624870E+07,  6.922288759639252E+00,
2453555.500000000, 2005-Jul-04 00:00:00.0000, -5.237561288304797E+07, -3.974376278778350E+07,  1.559620199448584E+06,  1.947690033345955E+01, -3.663253281442644E+01, -4.780196410969088E+00,  2.193727053365782E+02,  6.576628255096249E+07,  6.513137050942021E+00,
2453556.500000000, 2005-Jul-05 00:00:00.0000, -5.060335367418391E+07, -4.283838719354974E+07,  1.144155465836048E+06,  2.152740330029438E+01, -3.498853601740411E+01, -4.834063847105915E+00,  2.211893650049205E+02,  6.631090341828433E+07,  6.091950327329935E+00,
2453557.500000000, 2005-Jul-06 00:00:00.0000, -4.865914876372950E+07, -4.578751228915058E+07,  7.247979350600522E+05,  2.345738174559924E+01, -3.326571111855998E+01, -4.870430525113610E+00,  2.228830848083050E+02,  6.681866784130421E+07,  5.660212376464740E+00,
2453558.500000000, 2005-Jul-07 00:00:00.0000, -4.655334421525095E+07, -4.858463243546548E+07,  3.030285739957765E+05,  2.526839826609157E+01, -3.147100105298756E+01, -4.890007064836299E+00,  2.244510188025407E+02,  6.728872262741789E+07,  5.219251468972735E+00,
2453559.500000000, 2005-Jul-08 00:00:00.0000, -4.429615045859693E+07, -5.122381190020552E+07, -1.197306575482972E+05,  2.696202026755168E+01, -2.961066753596266E+01, -4.893448873601292E+00,  2.258906836467278E+02,  6.772032328975292E+07,  4.770258584436810E+00,
2453560.500000000, 2005-Jul-09 00:00:00.0000, -4.189764422011171E+07, -5.369962913636526E+07, -5.421120773898289E+05,  2.853976744490392E+01, -2.769036285605507E+01, -4.881357191707458E+00,  2.271999214858276E+02,  6.811282291964327E+07,  4.314304173306578E+00,
2453561.500000000, 2005-Jul-10 00:00:00.0000, -3.936777455906963E+07, -5.600712705717921E+07, -9.627976645974964E+05,  3.000306891910617E+01, -2.571519689548634E+01, -4.854280634211348E+00,  2.283768674620051E+02,  6.846566244677474E+07,  3.852353532710579E+00,
2453562.500000000, 2005-Jul-11 00:00:00.0000, -3.671637225721280E+07, -5.814176889936049E+07, -1.380514591945563E+06,  3.135322820370749E+01, -2.368979950293403E+01, -4.812717071560766E+00,  2.294199214699915E+02,  6.877836217165571E+07,  3.385280901894696E+00,
2453563.500000000, 2005-Jul-12 00:00:00.0000, -3.395316195297950E+07, -6.009939928394437E+07, -1.794030931115620E+06,  3.259139447139574E+01, -2.161837849034086E+01, -4.757115730880960E+00,  2.303277238047704E+02,  6.905051446497720E+07,  2.913882399353286E+00,
